B0,B1,B2,B3,ConKingdom,Habitat,OriginalTraitName,Rsqu,aic,aicc,bic,id
-0.32725884605021277,0.040830240069595916,-0.0007967925832550871,-1.0220693723099353e-06,Metazoa,terrestrial,Population Growth Rate,0.9394612780298017,-87.22230623159182,-80.55563956492514,-85.63072514039834,1
-0.3341351173351581,0.041030029356086226,-0.0007776528481201245,-1.9106466247540424e-06,Metazoa,terrestrial,Population Growth Rate,0.8914762913714565,-80.01475562537061,-73.34808895870394,-78.42317453417712,2
-0.6258108321369126,0.08177567792134227,-0.0025881132978749196,2.5263558311479024e-05,Metazoa,terrestrial,Population Growth Rate,0.9335270474908071,-81.15370416687894,-73.15370416687894,-79.94336379490275,3
0.00020557409285704422,-3.3456505627683995e-05,1.92668750216358e-06,-3.015623591426244e-08,Plantae,terrestrial,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.3196775302162749,-152.9804293323838,-139.64709599905046,-152.66266316566447,4
0.18813812520788023,-0.027780273230295333,0.001317545663483791,-1.9683892906651024e-05,Metazoa,freshwater,Individual Mass Growth Rate,0.9348838560470581,-116.18709446869363,-106.18709446869363,-115.39819615934876,5
2.696612305916264e-10,-3.722083830567531e-11,1.7916564123376432e-12,-2.4240761423296045e-14,Metazoa,freshwater,Mass-Specific Respiration Rate,0.9895974543400519,-470.32829464274613,-460.32829464274613,-469.53939633340127,6
0.15031193685133434,-0.047572625267356304,0.004782172680875192,-9.915411974835993e-05,Plantae,freshwater,Population Growth Rate,0.9945641053962616,-101.40445125186255,-95.69016553757685,-99.46482465271055,7
4.164112735126315,-0.6762481057973974,0.03497875389213337,-0.0004865337311262786,Bacteria,terrestrial,Population Growth Rate,0.9776946516377347,-32.43730148938689,-22.43730148938689,-31.64840318004201,8
3.876036044337678,-0.5980663626075561,0.03084614557395185,-0.0004260862484960604,Bacteria,terrestrial,Population Growth Rate,0.956348599481086,-33.61416537819005,-26.947498711523384,-32.02258428699657,9
4.148577751972092,-1.0258883904396294,0.0793570067555778,-0.0015736689760294698,Fungi,terrestrial,Radial Growth Rate,0.9761566418707046,-20.07241411147658,-6.739080778143245,-19.754647944757238,10
5.597152503135362,-1.2405412324363143,0.08542961306678272,-0.0015556128472379303,Fungi,terrestrial,Radial Growth Rate,0.960714553167043,-15.586968338863862,-5.586968338863862,-14.798070029518984,11
-0.6072057009198089,-0.12024895052858404,0.03241721494079832,-0.0008070208224614479,Fungi,terrestrial,Radial Growth Rate,0.9611459903649974,-14.991992968556605,-1.6586596352232714,-14.674226801837262,12
4.288751659169438,-1.0216124984182458,0.07813159950979857,-0.0014718489163591496,Fungi,terrestrial,Radial Growth Rate,0.9787460727088614,-17.078889439479866,-3.745556106146532,-16.76112327276052,13
3.548994747089618,-0.8676310355305162,0.0675957695895107,-0.0012734675413259911,Fungi,terrestrial,Radial Growth Rate,0.99179860585374,-28.80846205157124,-18.80846205157124,-28.01956374222636,14
-7.229056214126788,0.7780064088902582,-0.009377089514826832,-0.00017015835864956865,Fungi,terrestrial,Radial Growth Rate,0.9435810539852943,-13.163764491082848,-3.1637644910828477,-12.37486618173797,15
-1.300829953745383,-0.22383940413614326,0.049345466046672844,-0.0011799771731577438,Fungi,terrestrial,Radial Growth Rate,0.9434783427306385,-6.229346657845447,7.103986675487887,-5.911580491126104,16
-6.239703412816606,0.6957933701620893,-0.004715953456357031,-0.00024419951846058426,Fungi,terrestrial,Radial Growth Rate,0.8451144735420554,-3.171369951498283,10.16196338183505,-2.85360378477894,17
0.9360533271400685,-0.5497311978960803,0.0627839934118577,-0.0013591371801042072,Fungi,terrestrial,Radial Growth Rate,0.9518694919439556,-8.031023073231395,5.3023102601019385,-7.713256906512052,18
-0.17694166881221304,-0.27362590836076106,0.0403761099610328,-0.0009168400110309547,Fungi,terrestrial,Radial Growth Rate,0.9851700510905427,-22.595600400601764,-9.26226706726843,-22.277834233882423,19
-1.056994728407873,-0.1538870121555734,0.035232641569188435,-0.0008214933305922701,Fungi,terrestrial,Radial Growth Rate,0.9725690881369543,-17.170196869277483,-7.170196869277483,-16.381298559932603,20
-3.786683212034573,0.33060327104268933,0.012005134231744635,-0.0004905254102082615,Fungi,terrestrial,Radial Growth Rate,0.9621155007191525,-15.18264994911221,-5.182649949112211,-14.393751639767332,21
-1.40801519943236,-0.10523534825560092,0.036166041144354205,-0.0008921598050213146,Fungi,terrestrial,Radial Growth Rate,0.9844421671804408,-20.410353386689362,-7.077020053356028,-20.09258721997002,22
8.707032763146367,-1.7270302017701347,0.10685629874657174,-0.0018252236448367287,Fungi,terrestrial,Radial Growth Rate,0.9585238335976886,-12.194456475265962,1.1388768580673716,-11.87669030854662,23
2.788975089362963,-0.8823700334332985,0.08045115276345698,-0.0016551684652069102,Fungi,terrestrial,Radial Growth Rate,0.9717134531397364,-12.082741046391554,1.2505922869417798,-11.764974879672211,24
0.5763935032555916,-0.4142088842986657,0.05906218704222305,-0.001449892710626684,Fungi,terrestrial,Radial Growth Rate,0.9904384275545811,-23.06901778965581,-9.735684456322476,-22.751251622936465,25
1.773541394024738,-0.6656674064454753,0.06499860684376531,-0.001343723479405301,Fungi,terrestrial,Radial Growth Rate,0.9829199004517187,-19.175926328196745,-9.175926328196745,-18.387028018851865,26
7.205586225425996,-1.549995114511596,0.1028833007794567,-0.0018253186161501145,Fungi,terrestrial,Radial Growth Rate,0.9806812624143069,-17.036152229769055,-3.702818896435721,-16.718386063049714,27
