B0,ConKingdom,E,Eh,Habitat,OriginalTraitName,Rsqu,Th,aic,aicc,bic,id
0.02638890058390867,Metazoa,1.937904145444116,2.516373416041339,terrestrial,Population Growth Rate,0.9178263902254168,292.3831278804218,-83.86124513616346,-62.86124513616346,-82.26966404496997,1
0.02600263713359189,Metazoa,1.7470874204515083,2.5346965119367524,terrestrial,Population Growth Rate,0.8948815707572354,293.8775252311599,-80.36544717214166,-59.36544717214166,-78.77386608094818,2
0.016446273618177413,Metazoa,3.071210490742043,3.248481928120049,terrestrial,Population Growth Rate,0.9542562704138202,289.32902274741235,-84.89110828325266,-56.89110828325266,-83.68076791127648,3
2.3738593592401173e-05,Plantae,0.7543391167601652,26.871616290625866,terrestrial,Surface Area-Specific Photosynthetic Oxygen Production Rate,0.53463428889858,307.5384057574529,-156.01837600493536,-72.01837600493536,-155.70060983821602,4
9.439848102885859e-05,Metazoa,2.2850391542042123,5.887887911157121,freshwater,Individual Mass Growth Rate,0.959277705200936,301.027304725086,-120.4116654817511,-78.4116654817511,-119.62276717240623,5
1.701013641028005e-11,Metazoa,0.7582408079046605,2.8627326267923436,freshwater,Mass-Specific Respiration Rate,0.9908445680056307,308.07476745847976,-471.477623329907,-429.477623329907,-470.6887250205621,6
0.07072908706148708,Plantae,1.0834807778095694,2.7710718681915867,freshwater,Population Growth Rate,0.982065226048235,299.9132381882504,-87.07984245637257,-70.27984245637258,-85.14021585722057,7
0.38209457678816033,Bacteria,0.611876297286646,3.3577117818850644,terrestrial,Population Growth Rate,0.9808023816272201,312.68298567468815,-33.787663814332724,8.212336185667276,-32.998765504987844,8
0.5861803820788881,Bacteria,0.4248988066048063,4.997776065784191,terrestrial,Population Growth Rate,0.9892004123956342,314.97496440036286,-48.97816698003128,-27.978166980031283,-47.3865858888378,9
0.36958632048141604,Fungi,1.6383800456719944,3.106224803142757,terrestrial,Radial Growth Rate,0.9578711256228467,296.53364164690186,-15.518592796414104,68.48140720358589,-15.200826629694761,10
0.6399489492457997,Fungi,0.8130526481728435,5.147147406065215,terrestrial,Radial Growth Rate,0.8907495414943668,303.79426730278846,-6.381868327828162,35.61813167217184,-5.592970018483284,11
1.0563666519263832,Fungi,0.9072233711856315,2.7539161250764153,terrestrial,Radial Growth Rate,0.8549214719019624,299.67289439927936,-4.452281854024868,79.54771814597513,-4.134515687305525,12
0.9054830254013028,Fungi,0.8307542273747814,3.56276969225787,terrestrial,Radial Growth Rate,0.9397002971966981,303.1263820117186,-8.736605574753884,75.26339442524612,-8.418839408034541,13
0.694806019922768,Fungi,0.9949125609049994,2.916462244555237,terrestrial,Radial Growth Rate,0.9540699603843398,301.81287114470604,-13.303125222730923,28.696874777269077,-12.514226913386045,14
0.38459725646019904,Fungi,1.6924788405063151,3.0265594228781802,terrestrial,Radial Growth Rate,0.930815215798163,296.544580587227,-11.327981097426495,30.672018902573505,-10.539082788081616,15
1.1038752877679163,Fungi,0.9331790247493903,3.4683281221465396,terrestrial,Radial Growth Rate,0.9577449806263713,301.3102880748521,-8.556552503594457,75.44344749640554,-8.238786336875114,16
0.6791586446853866,Fungi,1.3904492591721067,2.567018487835362,terrestrial,Radial Growth Rate,0.9463353136133915,297.1971405548819,-11.65081898411307,72.34918101588693,-11.333052817393726,17
1.0117369803271103,Fungi,0.9485542940877001,3.6228755566074513,terrestrial,Radial Growth Rate,0.9647852893180534,301.2456885376481,-10.530641687387565,73.46935831261243,-10.212875520668222,18
0.917553153787226,Fungi,0.803208051213395,3.269698234353563,terrestrial,Radial Growth Rate,0.864781557410301,301.95246028368877,-4.913657577165397,79.0863424228346,-4.595891410446054,19
0.8560362082801259,Fungi,0.8929272191592939,3.4008231189801785,terrestrial,Radial Growth Rate,0.9471048076466947,302.15332263365656,-11.260419721831603,30.739580278168397,-10.471521412486725,20
1.1329007508229203,Fungi,0.7565073440867665,3.3107494142264597,terrestrial,Radial Growth Rate,0.9463769836872893,302.3683312136425,-12.055722832875908,29.944277167124092,-11.26682452353103,21
1.1060299706136565,Fungi,0.800046212109508,3.2024311961107195,terrestrial,Radial Growth Rate,0.9289915899408887,302.1126644500825,-8.2644806549944,75.7355193450056,-7.946714488275058,22
0.6316265975293156,Fungi,0.7841975791706168,5.6759960604983215,terrestrial,Radial Growth Rate,0.9115982044060643,305.10800656202156,-6.140269892198232,77.85973010780177,-5.822503725478889,23
0.5404534265798195,Fungi,1.854977253281758,2.634436305051684,terrestrial,Radial Growth Rate,0.9421380374750868,294.3356834903151,-6.357349831818221,77.64265016818177,-6.039583665098878,24
1.0830485954811668,Fungi,1.070138038105652,3.554875129669714,terrestrial,Radial Growth Rate,0.9478682945794269,298.1214953538135,-9.500848847804427,74.49915115219557,-9.183082681085084,25
0.770801907670643,Fungi,1.0722386323132502,3.1434061285789525,terrestrial,Radial Growth Rate,0.9030654741829462,300.5659759515124,-3.550830647315898,38.4491693526841,-2.76193233797102,26
0.6810191406326817,Fungi,0.855315776601212,4.469880078368739,terrestrial,Radial Growth Rate,0.8998333416782337,303.9918551038532,-3.870073048145411,80.12992695185459,-3.552306881426068,27
1.134029386148533,Fungi,0.5141926272158113,5.22993955614782,terrestrial,Radial Growth Rate,0.9255632444194036,303.9033686014012,-15.156389509912067,26.843610490087933,-14.367491200567189,28
0.7493668941482166,Fungi,0.8189911492286257,5.120376732589884,terrestrial,Radial Growth Rate,0.9519109303994708,304.32802250003334,-9.103543420986206,74.8964565790138,-8.785777254266863,29
