B0,ConKingdom,Habitat,OriginalTraitName,Rsqu,T0,Tm,aic,aicc,bic,id
0.00014465231489453072,Metazoa,terrestrial,Population Growth Rate,0.1819309590328667,10.0,35.0,-60.58200726593073,-60.137562821486284,-59.38832144753562,1
0.00013822950780450262,Metazoa,terrestrial,Population Growth Rate,0.1328511039801764,10.0,35.0,-59.15409321543417,-58.70964877098973,-57.96040739703906,2
0.0001924523442773965,Metazoa,terrestrial,Population Growth Rate,-1.2740960929111975,12.5,35.0,-47.828276217933265,-47.328276217933265,-46.92052093895113,3
4.745253369827076e-08,Plantae,terrestrial,Surface Area-Specific Photosynthetic Oxygen Production Rate,-0.1727205592888965,5.0,40.0,-150.6243118374703,-149.95764517080363,-150.3859872124308,4
1.4932801730468616e-05,Metazoa,freshwater,Individual Mass Growth Rate,0.7176467793961346,16.0,32.0,-104.98421743552464,-104.41278886409607,-104.39254370351598,5
1.534127281488171e-13,Metazoa,freshwater,Mass-Specific Respiration Rate,-1.2662747364706686,16.0,32.0,-423.87371550897154,-423.302286937543,-423.2820417769629,6
0.00022898471581327367,Plantae,freshwater,Population Growth Rate,0.896337582104707,5.0,35.0,-68.0270648893844,-67.6270648893844,-66.5723449400204,7
0.0011727420897457916,Bacteria,terrestrial,Population Growth Rate,0.36155684685880984,10.0,41.0,-4.2494461120182585,-3.6780175405896873,-3.6577723800096003,8
0.0008438859711784294,Bacteria,terrestrial,Population Growth Rate,0.8817344497429687,10.0,45.0,-24.65049667332667,-24.20605222888223,-23.45681085493156,9
0.002897464465478226,Fungi,terrestrial,Radial Growth Rate,0.7916634755466381,8.0,32.0,-4.731222232102139,-4.064555565435472,-4.492897607062632,10
0.002348466459302131,Fungi,terrestrial,Radial Growth Rate,0.9007620588857475,8.0,35.0,-9.24697189646581,-8.67554332503724,-8.655298164457152,11
0.0029862535842603536,Fungi,terrestrial,Radial Growth Rate,0.3826923482077462,11.0,35.0,5.13245699390699,5.799123660573657,5.370781618946497,12
0.0036084362250812063,Fungi,terrestrial,Radial Growth Rate,0.7251898702761352,11.0,35.0,1.3974203992564442,2.0640870659231108,1.635745024295951,13
0.002849257295665197,Fungi,terrestrial,Radial Growth Rate,0.8436733066158085,8.0,35.0,-4.279667417784321,-3.7082388463557496,-3.6879936857756626,14
0.002190493253151033,Fungi,terrestrial,Radial Growth Rate,0.4192912576850819,11.0,37.0,5.819234233312058,6.3906628047406295,6.410907965320717,15
0.004090755848244383,Fungi,terrestrial,Radial Growth Rate,0.4893013750558225,11.0,35.0,9.379899437750794,10.04656610441746,9.6182240627903,16
0.0034005191509266413,Fungi,terrestrial,Radial Growth Rate,-0.07969927734174931,11.0,35.0,10.362642283341394,11.02930895000806,10.6009669083809,17
0.003820925113849518,Fungi,terrestrial,Radial Growth Rate,0.5346043180040014,11.0,35.0,8.120750795607464,8.78741746227413,8.35907542064697,18
0.0029194231142122043,Fungi,terrestrial,Radial Growth Rate,0.6600510718095169,11.0,35.0,0.4615730718736559,1.1282397385403224,0.6998976969131627,19
0.0026068724937291605,Fungi,terrestrial,Radial Growth Rate,0.48791523827585515,11.0,37.0,7.171179655891187,7.742608227319758,7.762853387899845,20
0.0025751881444559003,Fungi,terrestrial,Radial Growth Rate,0.2655328654795306,11.0,37.0,9.498778947707386,10.070207519135957,10.090452679716044,21
0.0035242762627325577,Fungi,terrestrial,Radial Growth Rate,0.5226901488409001,11.0,35.0,4.9784596776458745,5.6451263443125415,5.216784302685381,22
0.003097355900685777,Fungi,terrestrial,Radial Growth Rate,0.9393614986977802,11.0,35.0,-11.155967934041072,-10.489301267374406,-10.917643309001566,23
0.004530589753265848,Fungi,terrestrial,Radial Growth Rate,0.6865366017712748,8.0,32.0,5.159629237893581,5.826295904560248,5.397953862933088,24
0.0036838853709146783,Fungi,terrestrial,Radial Growth Rate,0.6189261159971492,8.0,32.0,4.412910868885592,5.079577535552259,4.651235493925099,25
0.0030277057659879357,Fungi,terrestrial,Radial Growth Rate,0.83825919768261,8.0,35.0,-0.9431968647321565,-0.3717682933035851,-0.3515231327234982,26
0.00335377254181936,Fungi,terrestrial,Radial Growth Rate,0.9273522145615154,11.0,35.0,-8.439772848576746,-7.773106181910079,-8.20144822353724,27
0.0020953713680393446,Fungi,terrestrial,Radial Growth Rate,0.5401074603091286,8.0,35.0,-0.7670024527120143,-0.19557388128344289,-0.17532872070335603,28
0.003553380621724596,Fungi,terrestrial,Radial Growth Rate,0.9151943338612117,11.0,35.0,-6.565083819512374,-5.898417152845707,-6.326759194472867,29
0.002720699324370161,Fungi,terrestrial,Radial Growth Rate,0.9504426467712805,11.0,35.0,-15.150727600207244,-14.484060933540578,-14.912402975167737,30
0.002025462893647343,Fungi,terrestrial,Radial Growth Rate,0.7017554860267564,8.0,35.0,-2.1146786367139256,-1.5432500652853542,-1.5230049047052674,31
0.0023749630310968984,Fungi,terrestrial,Radial Growth Rate,0.8903009006820838,11.0,35.0,-10.855938212368212,-10.189271545701546,-10.617613587328705,32
0.001748269592406794,Fungi,terrestrial,Radial Growth Rate,0.9074855575398412,8.0,35.0,-15.23827360631967,-14.666845034891098,-14.646599874311011,33
0.0031048855740830783,Fungi,terrestrial,Radial Growth Rate,0.8552793404963691,8.0,32.0,-5.739647332387859,-5.072980665721192,-5.501322707348352,34
0.0035042085008072103,Fungi,terrestrial,Radial Growth Rate,0.7079388845205502,8.0,32.0,-0.26281570860574366,0.40385095806092297,-0.02449108356623686,35
